algorithm,input_size,cost,runtime,tsp_file
greedy,4,80.06001513584653,0:00:00.000003,Random11.tsp
random_restart,4,63.86597564867789,0:00:00.078030,Random11.tsp
brute_force,5,76.68614643395688,0:00:00.000078,Random11.tsp
brute_restart,5,76.68614643395688,0:00:00.000084,Random11.tsp
random,5,112.70847183709141,0:00:00.000009,Random11.tsp
greedy,5,88.29768932886532,0:00:00.000004,Random11.tsp
random_restart,5,78.84826295869972,0:00:00.110690,Random11.tsp
brute_force,6,99.8448167493533,0:00:00.000528,Random11.tsp
brute_restart,6,99.8448167493533,0:00:00.000568,Random11.tsp
random,6,125.45054462937718,0:00:00.000008,Random11.tsp
greedy,6,102.8587838153137,0:00:00.000004,Random11.tsp
random_restart,6,98.98391365230114,0:00:00.130140,Random11.tsp
brute_force,7,128.89254135207955,0:00:00.004117,Random11.tsp
brute_restart,7,128.89254135207955,0:00:00.004127,Random11.tsp
random,7,182.09405710008713,0:00:00.000013,Random11.tsp
greedy,7,170.80873920966943,0:00:00.000005,Random11.tsp
random_restart,7,127.92955025146182,0:00:00.126223,Random11.tsp
brute_force,2,7.610739790085114,0:00:00.000003,Random10.tsp
brute_restart,2,7.610739790085114,0:00:00.000001,Random10.tsp
random,2,15.221479580170229,0:00:00.000006,Random10.tsp
greedy,2,15.221479580170229,0:00:00.000002,Random10.tsp
random_restart,2,15.221479580170229,0:00:00.027290,Random10.tsp
brute_force,3,22.871093447359673,0:00:00.000006,Random10.tsp
brute_restart,3,22.871093447359673,0:00:00.000004,Random10.tsp
random,3,32.566288667210614,0:00:00.000006,Random10.tsp
greedy,3,27.738128095837308,0:00:00.000002,Random10.tsp
random_restart,3,27.69925401873298,0:00:00.051100,Random10.tsp
brute_force,4,37.679869155508136,0:00:00.000017,Random10.tsp
brute_restart,4,37.679869155508136,0:00:00.000016,Random10.tsp
random,4,54.549606871657545,0:00:00.000006,Random10.tsp
greedy,4,44.92841495076206,0:00:00.000002,Random10.tsp
random_restart,4,37.640995078403805,0:00:00.082928,Random10.tsp
brute_force,5,64.67228102591811,0:00:00.000078,Random10.tsp
brute_restart,5,64.67228102591811,0:00:00.000084,Random10.tsp
random,5,87.16582426902548,0:00:00.000006,Random10.tsp
greedy,5,77.19739367418265,0:00:00.000003,Random10.tsp
random_restart,5,57.384861153559854,0:00:00.097568,Random10.tsp
brute_force,6,81.02460101737464,0:00:00.000522,Random10.tsp
brute_restart,6,81.02460101737464,0:00:00.000571,Random10.tsp
random,6,106.54558281080523,0:00:00.000010,Random10.tsp
greedy,6,88.63269670874155,0:00:00.000004,Random10.tsp
random_restart,6,71.72110657172406,0:00:00.109307,Random10.tsp
brute_force,7,81.3222136830488,0:00:00.004106,Random10.tsp
brute_restart,7,81.3222136830488,0:00:00.004085,Random10.tsp
random,7,158.0541317380467,0:00:00.000015,Random10.tsp
greedy,7,99.59269724234755,0:00:00.000004,Random10.tsp
random_restart,7,72.86047731074629,0:00:00.113737,Random10.tsp
brute_force,2,84.06993857105513,0:00:00.000004,Random4.tsp
brute_restart,2,84.06993857105513,0:00:00.000001,Random4.tsp
random,2,168.13987714211027,0:00:00.000002,Random4.tsp
greedy,2,168.13987714211027,0:00:00.000001,Random4.tsp
random_restart,2,168.13987714211027,0:00:00.026346,Random4.tsp
brute_force,3,162.30032812153553,0:00:00.000006,Random4.tsp
brute_restart,3,162.30032812153553,0:00:00.000004,Random4.tsp
random,3,195.07827366302544,0:00:00.000004,Random4.tsp
greedy,3,195.07827366302544,0:00:00.000002,Random4.tsp
random_restart,3,186.6539246301856,0:00:00.053442,Random4.tsp
brute_force,4,205.5557535142479,0:00:00.000016,Random4.tsp
brute_restart,4,205.5557535142479,0:00:00.000015,Random4.tsp
random,4,273.1049869682535,0:00:00.000007,Random4.tsp
greedy,4,215.0855330320905,0:00:00.000003,Random4.tsp
random_restart,4,206.66118399925062,0:00:00.087731,Random4.tsp
brute_force,4,205.5557535142479,0:00:00.000015,Random4.tsp
brute_restart,4,205.5557535142479,0:00:00.000015,Random4.tsp
random,4,239.43912954074054,0:00:00.000012,Random4.tsp
greedy,4,215.0855330320905,0:00:00.000002,Random4.tsp
random_restart,4,206.66118399925062,0:00:00.087549,Random4.tsp
brute_force,4,205.5557535142479,0:00:00.000016,Random4.tsp
brute_restart,4,205.5557535142479,0:00:00.000015,Random4.tsp
random,4,259.6656829314743,0:00:00.000006,Random4.tsp
greedy,4,215.0855330320905,0:00:00.000002,Random4.tsp
random_restart,4,206.66118399925062,0:00:00.087515,Random4.tsp
brute_force,4,205.5557535142479,0:00:00.000015,Random4.tsp
brute_restart,4,205.5557535142479,0:00:00.000015,Random4.tsp
random,4,209.68279663216418,0:00:00.000012,Random4.tsp
greedy,4,215.0855330320905,0:00:00.000002,Random4.tsp
random_restart,4,206.66118399925062,0:00:00.087913,Random4.tsp
brute_force,2,11.61388233965275,0:00:00.000003,Random5.tsp
brute_restart,2,11.61388233965275,0:00:00.000002,Random5.tsp
random,2,23.2277646793055,0:00:00.000003,Random5.tsp
greedy,2,23.2277646793055,0:00:00.000002,Random5.tsp
random_restart,2,23.2277646793055,0:00:00.027251,Random5.tsp
brute_force,3,45.38436400897905,0:00:00.000006,Random5.tsp
brute_restart,3,45.38436400897905,0:00:00.000004,Random5.tsp
random,3,67.43656147105914,0:00:00.000005,Random5.tsp
greedy,3,67.43656147105914,0:00:00.000002,Random5.tsp
random_restart,3,56.89384448103834,0:00:00.051264,Random5.tsp
brute_force,4,111.86508971507394,0:00:00.000015,Random5.tsp
brute_restart,4,111.86508971507394,0:00:00.000015,Random5.tsp
random,4,136.89004090412308,0:00:00.000012,Random5.tsp
