algorithm,input_size,best_cost,runtime,tsp_file
greedy,11,151.91027040235133,0:00:11.699728,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:11.572068,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:11.557110,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:11.569906,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:11.571436,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:11.568619,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:11.561220,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:11.562844,11NodeDFSBFS.tsp
greedy,11,153.10057817227954,0:00:11.555886,11NodeDFSBFS.tsp
greedy,11,152.50397868825496,0:00:11.563483,11NodeDFSBFS.tsp
greedy,11,152.503978688255,0:00:11.561059,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.094297,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.094297,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.083524,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.094297,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.083524,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:10.081274,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.094297,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.083524,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:10.081274,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:10.084732,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.153601,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.088900,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.084155,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.094297,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.083524,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:10.081274,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:10.084732,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:10.083088,11NodeDFSBFS.tsp
